X: (s),Y: (Hits)
-1.63367e-07,0
-1.45992e-07,0
-1.28618e-07,0
-1.11243e-07,0
-9.38684e-08,0
-7.64937e-08,0
-5.9119e-08,0
-4.17444e-08,0
-2.43697e-08,0
-6.995e-09,0
1.03797e-08,3
2.77544e-08,1
4.5129e-08,4
6.25037e-08,4
7.98784e-08,4
9.72531e-08,4
1.14628e-07,4
1.32002e-07,5
1.49377e-07,6
1.66752e-07,7
1.84126e-07,4
2.01501e-07,4
2.18876e-07,8
2.3625e-07,5
2.53625e-07,5
2.71e-07,9
2.88374e-07,7
3.05749e-07,7
3.23124e-07,9
3.40499e-07,7
3.57873e-07,7
3.75248e-07,5
3.92623e-07,7
4.09997e-07,7
4.27372e-07,14
4.44747e-07,7
4.62121e-07,4
4.79496e-07,8
4.96871e-07,5
5.14245e-07,5
5.3162e-07,8
5.48995e-07,13
5.66369e-07,11
5.83744e-07,19
6.01119e-07,43
6.18493e-07,166
6.35868e-07,672
6.53243e-07,3755
6.70617e-07,24695
6.87992e-07,11245
7.05367e-07,95
7.22741e-07,95
7.40116e-07,120
7.57491e-07,133
7.74865e-07,159
7.9224e-07,185
8.09615e-07,203
8.26989e-07,185
8.44364e-07,216
8.61739e-07,218
8.79113e-07,252
8.96488e-07,240
9.13863e-07,217
9.31237e-07,232
9.48612e-07,220
9.65987e-07,215
9.83362e-07,232
1.00074e-06,236
1.01811e-06,235
1.03549e-06,228
1.05286e-06,220
1.07023e-06,253
1.08761e-06,245
1.10498e-06,236
1.12236e-06,261
1.13973e-06,273
1.15711e-06,255
1.17448e-06,237
1.19186e-06,286
1.20923e-06,262
1.22661e-06,283
1.24398e-06,263
1.26136e-06,269
1.27873e-06,256
1.29611e-06,238
1.31348e-06,269
1.33086e-06,270
1.34823e-06,278
1.3656e-06,246
1.38298e-06,299
1.40035e-06,311
1.41773e-06,288
1.4351e-06,273
1.45248e-06,282
1.46985e-06,288
1.48723e-06,314
1.5046e-06,292
1.52198e-06,283
1.53935e-06,281
1.55673e-06,291
1.5741e-06,306
1.59148e-06,312
1.60885e-06,345
1.62622e-06,303
1.6436e-06,302
1.66097e-06,355
1.67835e-06,326
1.69572e-06,335
1.7131e-06,319
1.73047e-06,354
1.74785e-06,333
1.76522e-06,356
1.7826e-06,325
1.79997e-06,341
1.81735e-06,313
1.83472e-06,339
1.8521e-06,329
1.86947e-06,363
1.88684e-06,355
1.90422e-06,321
1.92159e-06,359
1.93897e-06,358
1.95634e-06,356
1.97372e-06,372
1.99109e-06,327
2.00847e-06,385
2.02584e-06,376
2.04322e-06,346
2.06059e-06,381
2.07797e-06,393
2.09534e-06,385
2.11272e-06,404
2.13009e-06,378
2.14746e-06,423
2.16484e-06,405
2.18221e-06,426
2.19959e-06,422
2.21696e-06,426
2.23434e-06,424
2.25171e-06,396
2.26909e-06,411
2.28646e-06,412
2.30384e-06,416
2.32121e-06,421
2.33859e-06,403
2.35596e-06,431
2.37334e-06,426
2.39071e-06,418
2.40808e-06,440
2.42546e-06,416
2.44283e-06,434
2.46021e-06,439
2.47758e-06,455
2.49496e-06,453
2.51233e-06,459
2.52971e-06,450
2.54708e-06,468
2.56446e-06,429
2.58183e-06,456
2.59921e-06,476
2.61658e-06,455
2.63396e-06,482
2.65133e-06,532
2.66871e-06,515
2.68608e-06,430
2.70345e-06,525
2.72083e-06,474
2.7382e-06,474
2.75558e-06,492
2.77295e-06,530
2.79033e-06,549
2.8077e-06,562
2.82508e-06,569
2.84245e-06,520
2.85983e-06,481
2.8772e-06,549
2.89458e-06,516
2.91195e-06,612
2.92933e-06,580
2.9467e-06,556
2.96407e-06,568
2.98145e-06,589
2.99882e-06,571
3.0162e-06,595
3.03357e-06,541
3.05095e-06,600
3.06832e-06,607
3.0857e-06,638
3.10307e-06,571
3.12045e-06,591
3.13782e-06,602
3.1552e-06,625
3.17257e-06,562
3.18995e-06,613
3.20732e-06,722
3.22469e-06,630
3.24207e-06,658
3.25944e-06,656
3.27682e-06,678
3.29419e-06,623
3.31157e-06,637
3.32894e-06,656
3.34632e-06,664
3.36369e-06,677
3.38107e-06,686
3.39844e-06,700
3.41582e-06,709
3.43319e-06,673
3.45057e-06,658
3.46794e-06,721
3.48531e-06,778
3.50269e-06,694
3.52006e-06,686
3.53744e-06,692
3.55481e-06,799
3.57219e-06,801
3.58956e-06,783
3.60694e-06,720
3.62431e-06,769
3.64169e-06,783
3.65906e-06,767
3.67644e-06,782
3.69381e-06,848
3.71119e-06,802
3.72856e-06,826
3.74593e-06,813
3.76331e-06,810
3.78068e-06,843
3.79806e-06,765
3.81543e-06,818
3.83281e-06,759
3.85018e-06,754
3.86756e-06,744
3.88493e-06,762
3.90231e-06,684
3.91968e-06,630
3.93706e-06,579
3.95443e-06,473
3.97181e-06,326
3.98918e-06,106
4.00656e-06,0
4.02393e-06,0
4.0413e-06,0
4.05868e-06,0
4.07605e-06,0
4.09343e-06,0
4.1108e-06,0
4.12818e-06,0
4.14555e-06,0
4.16293e-06,0
