Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.885000
Vertical Units,V

TIME,CH3
-4.999080e-06,-7.446875e-01
-4.991080e-06,-7.368750e-01
-4.983080e-06,-7.368750e-01
-4.975080e-06,-7.190625e-01
-4.967080e-06,-7.475000e-01
-4.959080e-06,-7.362500e-01
-4.951080e-06,-7.571875e-01
-4.943080e-06,-7.331250e-01
-4.935080e-06,-7.450000e-01
-4.927080e-06,-7.218750e-01
-4.919080e-06,-7.493750e-01
-4.911080e-06,-7.493750e-01
-4.903080e-06,-7.428125e-01
-4.895080e-06,-7.387500e-01
-4.887080e-06,-7.593750e-01
-4.879080e-06,-7.231250e-01
-4.871080e-06,-7.306250e-01
-4.863080e-06,-7.178125e-01
-4.855080e-06,-7.390625e-01
-4.847080e-06,-7.162500e-01
-4.839080e-06,-7.593750e-01
-4.831080e-06,-7.275000e-01
-4.823080e-06,-7.471875e-01
-4.815080e-06,-7.300000e-01
-4.807080e-06,-7.450000e-01
-4.799080e-06,-7.096875e-01
-4.791080e-06,-7.431250e-01
-4.783080e-06,-7.353125e-01
-4.775080e-06,-7.437500e-01
-4.767080e-06,-7.353125e-01
-4.759080e-06,-7.490625e-01
-4.751080e-06,-7.293750e-01
-4.743080e-06,-7.493750e-01
-4.735080e-06,-7.262500e-01
-4.727080e-06,-7.437500e-01
-4.719080e-06,-7.306250e-01
-4.711080e-06,-7.515625e-01
-4.703080e-06,-7.418750e-01
-4.695080e-06,-7.425000e-01
-4.687080e-06,-7.243750e-01
-4.679080e-06,-7.387500e-01
-4.671080e-06,-7.206250e-01
-4.663080e-06,-7.434375e-01
-4.655080e-06,-7.262500e-01
-4.647080e-06,-7.618750e-01
-4.639080e-06,-7.350000e-01
-4.631080e-06,-7.425000e-01
-4.623080e-06,-7.262500e-01
-4.615080e-06,-7.325000e-01
-4.607080e-06,-7.175000e-01
-4.599080e-06,-7.421875e-01
-4.591080e-06,-7.150000e-01
-4.583080e-06,-7.515625e-01
-4.575080e-06,-7.121875e-01
-4.567080e-06,-7.493750e-01
-4.559080e-06,-7.181250e-01
-4.551080e-06,-7.425000e-01
-4.543080e-06,-7.140625e-01
-4.535080e-06,-7.375000e-01
-4.527080e-06,-7.415625e-01
-4.519080e-06,-7.484375e-01
-4.511080e-06,-7.362500e-01
-4.503080e-06,-7.534375e-01
-4.495080e-06,-7.306250e-01
-4.487080e-06,-7.306250e-01
-4.479080e-06,-7.221875e-01
-4.471080e-06,-7.475000e-01
-4.463080e-06,-7.240625e-01
-4.455080e-06,-7.375000e-01
-4.447080e-06,-7.209375e-01
-4.439080e-06,-7.471875e-01
-4.431080e-06,-7.206250e-01
-4.423080e-06,-7.381250e-01
-4.415080e-06,-7.150000e-01
-4.407080e-06,-7.306250e-01
-4.399080e-06,-7.362500e-01
-4.391080e-06,-7.381250e-01
-4.383080e-06,-7.468750e-01
-4.375080e-06,-7.443750e-01
-4.367080e-06,-7.171875e-01
-4.359080e-06,-7.375000e-01
-4.351080e-06,-7.240625e-01
-4.343080e-06,-7.428125e-01
-4.335080e-06,-7.181250e-01
-4.327080e-06,-7.490625e-01
-4.319080e-06,-7.225000e-01
-4.311080e-06,-7.537500e-01
-4.303080e-06,-7.418750e-01
-4.295080e-06,-7.450000e-01
-4.287080e-06,-7.184375e-01
-4.279080e-06,-7.521875e-01
-4.271080e-06,-7.443750e-01
-4.263080e-06,-7.343750e-01
-4.255080e-06,-7.471875e-01
-4.247080e-06,-7.384375e-01
-4.239080e-06,-7.212500e-01
-4.231080e-06,-7.409375e-01
-4.223080e-06,-7.334375e-01
-4.215080e-06,-7.359375e-01
-4.207080e-06,-7.331250e-01
-4.199080e-06,-7.462500e-01
-4.191080e-06,-7.325000e-01
-4.183080e-06,-7.509375e-01
-4.175080e-06,-7.275000e-01
-4.167080e-06,-7.381250e-01
-4.159080e-06,-7.100000e-01
-4.151080e-06,-7.393750e-01
-4.143080e-06,-7.350000e-01
-4.135080e-06,-7.350000e-01
-4.127080e-06,-7.393750e-01
-4.119080e-06,-7.540625e-01
-4.111080e-06,-7.196875e-01
-4.103080e-06,-7.371875e-01
-4.095080e-06,-7.240625e-01
-4.087080e-06,-7.468750e-01
-4.079080e-06,-7.281250e-01
-4.071080e-06,-7.587500e-01
-4.063080e-06,-7.293750e-01
-4.055080e-06,-7.428125e-01
-4.047080e-06,-7.400000e-01
-4.039080e-06,-7.468750e-01
-4.031080e-06,-7.146875e-01
-4.023080e-06,-7.428125e-01
-4.015080e-06,-7.368750e-01
-4.007080e-06,-7.359375e-01
-3.999080e-06,-7.462500e-01
-3.991080e-06,-7.615625e-01
-3.983080e-06,-7.300000e-01
-3.975080e-06,-7.481250e-01
-3.967080e-06,-7.346875e-01
-3.959080e-06,-7.362500e-01
-3.951080e-06,-7.331250e-01
-3.943080e-06,-7.581250e-01
-3.935080e-06,-7.325000e-01
-3.927080e-06,-7.512500e-01
-3.919080e-06,-7.156250e-01
-3.911080e-06,-7.350000e-01
-3.903080e-06,-7.259375e-01
-3.895080e-06,-7.440625e-01
-3.887080e-06,-7.318750e-01
-3.879080e-06,-7.396875e-01
-3.871080e-06,-7.246875e-01
-3.863080e-06,-7.481250e-01
