X: (s),Y: (Hits)
5.43744e-07,0
5.58327e-07,0
5.72911e-07,0
5.87494e-07,1
6.02078e-07,0
6.16661e-07,3
6.31245e-07,2
6.45828e-07,22
6.60412e-07,76
6.74996e-07,323
6.89579e-07,4
7.04163e-07,0
7.18746e-07,1
7.3333e-07,1
7.47913e-07,1
7.62497e-07,1
7.7708e-07,3
7.91664e-07,1
8.06248e-07,1
8.20831e-07,2
8.35415e-07,2
8.49998e-07,1
8.64582e-07,1
8.79165e-07,1
8.93749e-07,2
9.08332e-07,2
9.22916e-07,3
9.37499e-07,1
9.52083e-07,2
9.66667e-07,3
9.8125e-07,3
9.95834e-07,2
1.01042e-06,1
1.025e-06,0
1.03958e-06,1
1.05417e-06,3
1.06875e-06,5
1.08333e-06,3
1.09792e-06,2
1.1125e-06,5
1.12709e-06,2
1.14167e-06,3
1.15625e-06,5
1.17084e-06,2
1.18542e-06,1
1.2e-06,1
1.21459e-06,1
1.22917e-06,4
1.24375e-06,2
1.25834e-06,5
1.27292e-06,4
1.2875e-06,7
1.30209e-06,6
1.31667e-06,5
1.33126e-06,3
1.34584e-06,3
1.36042e-06,2
1.37501e-06,3
1.38959e-06,5
1.40417e-06,5
1.41876e-06,7
1.43334e-06,5
1.44792e-06,2
1.46251e-06,1
1.47709e-06,5
1.49167e-06,5
1.50626e-06,6
1.52084e-06,5
1.53543e-06,1
1.55001e-06,3
1.56459e-06,4
1.57918e-06,9
1.59376e-06,2
1.60834e-06,4
1.62293e-06,7
1.63751e-06,4
1.65209e-06,8
1.66668e-06,6
1.68126e-06,5
1.69584e-06,2
1.71043e-06,3
1.72501e-06,2
1.73959e-06,6
1.75418e-06,7
1.76876e-06,4
1.78335e-06,6
1.79793e-06,5
1.81251e-06,9
1.8271e-06,5
1.84168e-06,6
1.85626e-06,10
1.87085e-06,3
1.88543e-06,3
1.90001e-06,3
1.9146e-06,4
1.92918e-06,6
1.94376e-06,5
1.95835e-06,3
1.97293e-06,4
1.98752e-06,6
2.0021e-06,6
2.01668e-06,8
2.03127e-06,5
2.04585e-06,5
2.06043e-06,7
2.07502e-06,11
2.0896e-06,5
2.10418e-06,7
2.11877e-06,3
2.13335e-06,9
2.14793e-06,3
2.16252e-06,4
2.1771e-06,11
2.19168e-06,11
2.20627e-06,7
2.22085e-06,7
2.23544e-06,10
2.25002e-06,8
2.2646e-06,10
2.27919e-06,7
2.29377e-06,12
2.30835e-06,11
2.32294e-06,5
2.33752e-06,7
2.3521e-06,9
2.36669e-06,7
2.38127e-06,11
2.39585e-06,6
2.41044e-06,2
2.42502e-06,6
2.43961e-06,6
2.45419e-06,4
2.46877e-06,10
2.48336e-06,10
2.49794e-06,4
2.51252e-06,4
2.52711e-06,5
2.54169e-06,4
2.55627e-06,7
2.57086e-06,8
2.58544e-06,7
2.60002e-06,10
2.61461e-06,7
2.62919e-06,11
2.64377e-06,7
2.65836e-06,9
2.67294e-06,11
2.68753e-06,7
2.70211e-06,11
2.71669e-06,7
2.73128e-06,11
2.74586e-06,11
2.76044e-06,16
2.77503e-06,9
2.78961e-06,8
2.80419e-06,6
2.81878e-06,10
2.83336e-06,9
2.84794e-06,5
2.86253e-06,11
2.87711e-06,6
2.8917e-06,9
2.90628e-06,11
2.92086e-06,9
2.93545e-06,7
2.95003e-06,17
2.96461e-06,13
2.9792e-06,11
2.99378e-06,13
3.00836e-06,14
3.02295e-06,11
3.03753e-06,13
3.05211e-06,11
3.0667e-06,10
3.08128e-06,8
3.09586e-06,8
3.11045e-06,19
3.12503e-06,8
3.13962e-06,14
3.1542e-06,12
3.16878e-06,6
3.18337e-06,8
3.19795e-06,12
3.21253e-06,16
3.22712e-06,10
3.2417e-06,24
3.25628e-06,13
3.27087e-06,16
3.28545e-06,14
3.30003e-06,14
3.31462e-06,11
3.3292e-06,20
3.34379e-06,10
3.35837e-06,10
3.37295e-06,15
3.38754e-06,16
3.40212e-06,6
3.4167e-06,15
3.43129e-06,13
3.44587e-06,9
3.46045e-06,13
3.47504e-06,13
3.48962e-06,14
3.5042e-06,11
3.51879e-06,12
3.53337e-06,11
3.54795e-06,19
3.56254e-06,15
3.57712e-06,18
3.59171e-06,5
3.60629e-06,20
3.62087e-06,18
3.63546e-06,15
3.65004e-06,16
3.66462e-06,16
3.67921e-06,15
3.69379e-06,16
3.70837e-06,25
3.72296e-06,16
3.73754e-06,22
3.75212e-06,16
3.76671e-06,17
3.78129e-06,12
3.79588e-06,13
3.81046e-06,16
3.82504e-06,14
3.83963e-06,14
3.85421e-06,12
3.86879e-06,21
3.88338e-06,17
3.89796e-06,10
3.91254e-06,7
3.92713e-06,8
3.94171e-06,8
3.95629e-06,8
3.97088e-06,6
3.98546e-06,2
4.00004e-06,0
4.01463e-06,0
4.02921e-06,0
4.0438e-06,0
4.05838e-06,0
4.07296e-06,0
4.08755e-06,0
4.10213e-06,0
4.11671e-06,0
4.1313e-06,0
4.14588e-06,0
4.16046e-06,0
4.17505e-06,0
